#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
17,C901027448804594,28.65349920699510,45.45465854070900,53.6643611537536,3.58446962855487,4.15073590564798,5.71691903008648,10.879979424715,-9.86314726740581,16.6292266845703,16.2334785461426,16.2309210979309,15.9555072784424,0.0,0.0,0.0,0.0,9.78675071984317,9.19156360626221,0.055394359466486,22.2933002123434,,,8,28132.3499856005,-44103.2824337126,1,28580.89,45420.22,-99,P,rectangular_magnet,R17,1,I,17.0,A,64.6250184909801,5.71691903008648,circular_magnet,Blu,1,TR,0.0803623669799998,0.0
18,C901027448704561,-27.185002493982500,47.86102107168480,55.0246017207076,3.55270256772784,-1.05389886042392,4.60660142815176,10.6368293165105,-9.87336479246362,18.8417167663574,18.0327816009521,17.7417115401496,17.4940547943115,0.0,0.0,0.0,0.0,9.64492928880987,2.36545515060425,0.059343446046114,21.1452298735477,,,1,-26819.5744686305,-46412.4430967784,1,-27192.35,47836.0,-99,P,rectangular_magnet,R18,1,I,18.0,F,66.44513700390430,4.60660142815176,circular_magnet,Blu,1,TR,0.0167343919199998,0.02
19,C901027875003596,-109.29457444384000,-181.87286220785300,212.201531283365,2.76970100149714,1.02926779934013,1.74043320215701,10.290505441868,-8.9028485285422,18.9353466033936,18.4309539794922,18.2478132255652,18.097469329834,0.0,0.0,0.0,0.0,7.92469188122192,5.30383014678955,0.0134262191131711,23.296776698719,,,8,-105088.770137834,172924.232549462,1,-109378.52,-181840.12,-99,P,rectangular_magnet,R19,1,I,19.0,P,111.30782210105700,1.74043320215701,circular_magnet,Mag,1,TL,0.0901049863999998,0.0
20,S96330110430919504,66.08329196783760,11.49757863929080,67.0791461292002,1.32515843678686,3.31395854715306,4.29438519681338,11.043119,-9.717398,18.1508007049561,17.6881008148193,17.4941997528076,17.4118003845215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24714015319012,-3.07622936774741,3,65001.8940000003,-11163.948,0,66085.15,11504.99,-99,P,rectangular_magnet,R20,1,I,20.0,H,-165.92598561404100,4.29438519681338,circular_magnet,Blu,1,TR,0.0076407166599999,0.0
21,S96580106905940400,-14.932565646262600,-35.136680980948600,38.1850590003813,-0.581537634309693,1.16993785518394,4.53170981768595,10.690611,-9.516688,16.8208999633789,16.5517997741699,16.4605007171631,16.4503002166748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.66724445675034,-1.6758861040055,8,-14664.9139999998,34196.5119999998,0,-14900.15,-35157.99,-99,P,rectangular_magnet,R21,1,I,21.0,U,-56.68034792603230,4.53170981768595,circular_magnet,Blu,1,TR,0.0387923757399998,0.0
22,G96390107569058112,0.2345404943720720,0.0878648200420993,0.267993213533477,3.5303537866577,3.56434449637203,6.24919459746525,10.756912,-9.6686125,,14.3628997802734,,,,,,,,,,,-0.673637400820332,-1.83901496554887,-99,319.112000000043,-138.425000000179,2,244.4,109.95,-99,G,rectangular_magnet,R22,1,I,22.0,GS1,67.72562783648510,6.24919459746525,circular_magnet,Blu,1,TR,-0.017495,-0.0167
23,G96570104420206032,-72.11104786575260,-34.34641052080020,79.8786091759646,-0.845233543732304,0.444688552804187,4.9932632106431,10.442034,-9.520327,,13.7904996871948,,,,,,,,,,,17.3814138446022,-5.01424175960846,-99,-70843.316,33374.0979999998,2,-72109.99,-34361.92,-99,G,rectangular_magnet,R23,1,I,23.0,GS2,-41.57168524125270,4.9932632106431,circular_magnet,Blu,1,TR,0.012305,-0.0095
24,G96850108249645152,15.9985289937533,-88.76777849717590,90.223136535304,1.48544883794557,1.74906788885402,6.01956625627113,10.825027,-9.287716,,14.6077995300293,,,,,,,,,,,19.9922077389296,-3.18684868463243,-99,15713.1020000002,85944.1839999999,2,15999.16,-88793.25,-99,G,rectangular_magnet,R24,1,I,24.0,GS3,-175.10994909689400,6.01956625627113,circular_magnet,Blu,1,TR,-0.025325,-0.0028
25,G95910107092152800,-10.611336776453300,94.60321136280510,95.172164743842,-0.100460370613305,-1.45932415634652,1.35886378573322,10.709237,-10.072992,,13.8439998626709,,,,,,,,,,,-5.5228965369942,-6.43636802900776,-99,-10455.4379999999,-91528.192,2,-10587.09,94581.47,-99,G,rectangular_magnet,R25,1,I,25.0,GS4,-84.24404475553750,1.35886378573322,circular_magnet,Gre,1,TL,0.026305,-0.0192
26,G96110111706911712,95.71581228686830,55.97510631115880,110.907725781369,3.6349129361311,3.6705915758455,6.24750666746519,11.170753,-9.907266,,14.1921997070313,,,,,,,,,,,9.77002227288848,0.806698438273606,-99,93847.178,-54074.1160000001,2,95748.05,55971.73,-99,G,rectangular_magnet,R26,1,I,26.0,GS5,61.73482986218180,6.24750666746519,circular_magnet,Gre,1,TR,-0.026795,0.01824
