#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
22,Sky-A1-1,-81.75646,-224.58157,0,0,0,0,10.2935128,-8.437991488,,,,,,,,,,,,,,,33,,,33,-81756.46,-224581.57,2,S,,,33,,,,,,,,33,,,
23,Sky-A1-2,-93.24117,-222.23219,0,0,0,0,10.2452918,-8.448216745,,,,,,,,,,,,,,,33,,,33,-93241.17,-222232.19,1,S,,,33,,,,,,,,33,,,
24,Sky-A1-3,-102.1024,-213.87871,0,0,0,0,10.2074293,-8.482009768,,,,,,,,,,,,,,,33,,,33,-102102.4,-213878.71,3,S,,,33,,,,,,,,33,,,
25,Sky-A1-4,-114.16975,-212.24121,0,0,0,0,10.1570299,-8.489710595,,,,,,,,,,,,,,,33,,,33,-114169.75,-212241.21,1,S,,,33,,,,,,,,33,,,
26,Sky-A1-5,-124.24934,-206.50222,0,0,0,0,10.1145084,-8.513553853,,,,,,,,,,,,,,,33,,,33,-124249.34,-206502.22,1,S,,,33,,,,,,,,33,,,
27,Sky-A1-6,-132.92867,-198.62268,0,0,0,0,10.0775617,-8.545877211,,,,,,,,,,,,,,,33,,,33,-132928.67,-198622.68,2,S,,,33,,,,,,,,33,,,
28,Sky-A1-7,-143.52243,-193.60365,0,0,0,0,10.0331751,-8.567158174,,,,,,,,,,,,,,,33,,,33,-143522.43,-193603.65,1,S,,,33,,,,,,,,33,,,
29,Sky-A2-1,-240.9813,-3.01251,0,0,0,0,9.6201398,-9.360374199,,,,,,,,,,,,,,,33,,,33,-240981.3,-3012.51,1,S,,,33,,,,,,,,33,,,
30,Sky-A2-2,-240.84715,8.5856,0,0,0,0,9.6205709,-9.408691436,,,,,,,,,,,,,,,33,,,33,-240847.15,8585.6,1,S,,,33,,,,,,,,33,,,
31,Sky-A2-3,-240.15512,20.16382,0,0,0,0,9.6233584,-9.456930455,,,,,,,,,,,,,,,33,,,33,-240155.12,20163.82,1,S,,,33,,,,,,,,33,,,
