#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
21,S108002230460018864,10.78121740321888,44.88862545784895,46.15469568,-0.509642716,4.475867455,1.297675135,223.04597,0.00701725,18.10810089,17.45669937,17.21529961,17.10330009,0,17.522419,17.984789,16.861828,0,0,0,0,2.968784294,-3.757519627,4,10389.22,-43614.1015,0,10815.08,44869.7,-99,P,rectangular_magnet,R21,1,I,21,U,-60.79962329,1.297675135,circular_magnet,Blu,1,TL,0.038792376,0
22,G108282230682171008,15.77794599891553,-7.855891005,17.61518806,3.92980918,2.680865171,1.248944009,223.06819,0.2337489,,13.77830029,,,,,,,,,,,-0.744353407,-18.07212323,-99,15410.94,7627.2514,2,15778.44,-7831.71,-99,G,rectangular_magnet,R22,1,I,22,GS1,44.83851967166149,1.248944009,circular_magnet,Blu,1,TL,-0.017495,-0.0167
23,G108172234641359440,108.5539245536136,11.62065932870102,109.1593581,3.592337083,3.248280072,0.344057011,223.46405,0.14908738,,13.81089973,,,,,,,,,,,-2.863709082,-0.665940979,-99,104875.3,-11506.25212,2,108538.71,11623.85,-99,G,rectangular_magnet,R23,1,I,23,GS2,64.17424656,0.344057011,circular_magnet,Gre,1,TR,0.012305,-0.0095
24,G108402225099213328,-114.8359916,-31.49557946,119.0528091,3.646426993,0.267610621,3.378816372,222.5099,0.3357693,,13.58049965,,,,,,,,,,,-13.42316438,-0.21630468,-99,-110762.6,30683.8618,2,-114815.18,-31480.88,-99,G,rectangular_magnet,R24,1,I,24,GS3,61.07512299279179,3.378816372,circular_magnet,Gre,1,TR,-0.025325,-0.0028
25,G107632228350886048,-38.32638521,118.11116874471546,124.1946724,3.394696226,-1.256819964,4.65151619,222.83504,-0.30364585,,13.93280029,,,,,,,,,,,-3.495094048,-7.391667883,-99,-37280.96,-113823.9621,2,-38356.66,118123.17,-99,G,rectangular_magnet,R25,1,I,25,GS4,75.49823349920058,4.65151619,circular_magnet,Gre,1,TR,0.026305,-0.0192
26,G108762230021341776,0.2317733193085071,-101.4070838,101.4364634,1.715576542,1.572941415,0.142635127,223.00214,0.63442457,,13.35809994,,,,,,,,,,,-12.8685016,-3.375499036,-99,483.64,98179.95282,2,217.59,-101436.23,-99,G,rectangular_magnet,R26,1,I,26,GS5,171.70470470674528,0.142635127,circular_magnet,Gre,1,TR,-0.026795,0.01824
27,G108632235516573744,129.47287496554253,-77.35802997,150.8426255,3.957472039,2.60278541,1.354686628,223.55162,0.5278095,,13.71210003,,,,,,,,,,,2.051684083,5.458400416,-99,124666.12,74084.947,2,129471.44,-77399.25,-99,G,rectangular_magnet,R27,1,I,27,GS6,43.253554650750914,1.354686628,circular_magnet,Yel,1,TL,0.031005,0.0272
22,Sky-A1-1,-82.44066,-226.46104,0,0,0,0,222.6587496,1.144919476,,,,,,,,,,,,,,,-99,,,-99,-82440.66,-226461.04,1,S,,,-99,,,,,,,,-99,,,
23,Sky-A1-2,-93.24117,-222.23219,0,0,0,0,222.6136799,1.127403186,,,,,,,,,,,,,,,-99,,,-99,-93241.17,-222232.19,1,S,,,-99,,,,,,,,-99,,,
24,Sky-A1-3,-102.1024,-213.87871,0,0,0,0,222.5761956,1.093636038,,,,,,,,,,,,,,,-99,,,-99,-102102.4,-213878.71,3,S,,,-99,,,,,,,,-99,,,
25,Sky-A1-4,-112.27476,-208.71842,0,0,0,0,222.533692,1.072203925,,,,,,,,,,,,,,,-99,,,-99,-112274.76,-208718.42,3,S,,,-99,,,,,,,,-99,,,
26,Sky-A1-5,-123.21816,-204.78839,0,0,0,0,222.4882602,1.055452349,,,,,,,,,,,,,,,-99,,,-99,-123218.16,-204788.39,2,S,,,-99,,,,,,,,-99,,,
27,Sky-A1-6,-134.04112,-200.2849,0,0,0,0,222.4433789,1.036320274,,,,,,,,,,,,,,,-99,,,-99,-134041.12,-200284.9,1,S,,,-99,,,,,,,,-99,,,
28,Sky-A1-7,-143.52243,-193.60365,0,0,0,0,222.4037923,1.008559838,,,,,,,,,,,,,,,-99,,,-99,-143522.43,-193603.65,1,S,,,-99,,,,,,,,-99,,,
29,Sky-A2-1,-238.98133,-2.98751,0,0,0,0,222.0038588,0.214998765,,,,,,,,,,,,,,,-99,,,-99,-238981.33,-2987.51,2,S,,,-99,,,,,,,,-99,,,
30,Sky-A2-2,-240.84715,8.5856,0,0,0,0,221.996547,0.166794764,,,,,,,,,,,,,,,-99,,,-99,-240847.15,8585.6,1,S,,,-99,,,,,,,,-99,,,
