#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
18,W39670541705396,-138.3846501942040,45.13527435942500,145.585228190404,2.07888343463807,-0.315444169506574,2.39432760414464,39.3577606530398,-33.2336085259329,15.8723256479657,15.4010226889895,15.1896557243135,15.0941599471574,0.0,0.0,0.0,0.0,9.52332218933704,4.26717451794071,0.0210999995470047,19.7945993952262,,,4,-159067.692413005,-43077.5268608358,1,-138401.86,45166.18,-99,P,rectangular_magnet,R18,1,I,18.0,I,150.88875309557800,2.39432760414464,circular_magnet,Gre,1,TR,0.0353742283999999,0.0
19,W39670710806260,-172.4725464247150,28.700987146073600,174.803320619124,-1.2113251204908,-0.164492608082675,5.23635279477146,39.1892987621224,-33.1617078518602,16.8149158269201,16.5916552772713,16.4833837768329,16.4085600666392,0.0,0.0,0.0,0.0,8.77241768723907,5.17116411873249,0.0214717779308557,21.402471565609,,,4,-197140.079760338,-26827.9745204054,1,-172443.75,28624.36,-99,P,rectangular_magnet,R19,1,I,19.0,L,-20.596182977701200,5.23635279477146,circular_magnet,Yel,1,TR,0.0818593524999998,0.0
20,S10774261,-28.45952747425240,30.370909560092000,41.6144332628873,-0.379360519413661,-0.817954378032207,0.438593858618546,39.915466,-33.173535,16.7045,16.4588,16.3277,16.3272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83777621350475,-7.53587464640377,5,-33026.2839999992,-29500.9100000004,0,-28452.43,30368.08,-99,P,rectangular_magnet,R20,1,I,20.0,H,-68.26424332370650,0.438593858618546,circular_magnet,Blu,1,TL,0.0076407166599999,0.0
21,S10781183,22.497503466662300,-60.733232514749600,64.7311687372953,1.48286856473576,1.9258124635467,5.84024140836865,40.176268,-32.78229,16.4655,16.2342,16.1073,16.1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48180122076407,-7.83751824592716,5,25914.9680000004,58920.4599999991,0,22500.91,-60694.59,-99,P,rectangular_magnet,R21,1,I,21.0,U,-174.96211033198100,5.84024140836865,circular_magnet,Blu,1,TR,0.0387923757399998,0.0
22,G10774670,0.3305670062910670,0.0976706445994866,0.320805126050068,-0.323576322330272,3.4175202238216,2.54208876102771,40.063465,-33.043448,,13.7823,,,,,,,,,,,17.3070518566216,-3.93715940145581,-99,421.490000000503,-101.2479999997,2,308.67,87.4,-99,G,rectangular_magnet,R22,1,I,22.0,GS1,-71.46044238011070,2.54208876102771,circular_magnet,Blu,1,TR,-0.017495,-0.0167
23,G10777003,49.934621195321100,-66.61188640581300,83.249764091258,1.33427917987867,2.21425061263266,5.4032138744256,40.315783,-32.757088,,14.3931,,,,,,,,,,,11.8219306718071,-11.8445449144677,-99,57445.3580000011,64616.1119999991,2,49946.74,-66602.15,-99,G,rectangular_magnet,R23,1,I,23.0,GS2,-166.4485656992250,5.4032138744256,circular_magnet,Blu,1,TR,0.012305,-0.0095
24,G10779417,-7.5630659841274,-98.95645189651070,99.2696247361624,1.65123997554778,1.49458407410555,0.156655901442236,40.022857,-32.619037,,14.1276,,,,,,,,,,,-5.54829228849058,-8.25404021542991,-99,-8755.91799999924,95815.6380000001,2,-7558.24,-98981.47,-99,G,rectangular_magnet,R24,1,I,24.0,GS3,175.39091843782700,0.156655901442236,circular_magnet,Gre,1,TR,-0.025325,-0.0028
25,G10775469,79.10045143509550,82.81609548660240,114.509828593878,3.40711008077151,3.95019691739011,5.74009847056099,40.466528,-33.395906,,14.0587,,,,,,,,,,,0.297972547095681,-11.3944854640708,-99,91513.7279999996,-79756.7559999994,2,79070.03,82827.72,-99,G,rectangular_magnet,R25,1,I,25.0,GS4,74.78697203531550,5.74009847056099,circular_magnet,Gre,1,TR,0.026305,-0.0192
26,G10773915,-52.54033892049900,81.80792839842690,97.257083181848,-0.0494277803738354,-0.999780361936368,0.950352581562533,39.792206,-33.393208,,14.3471,,,,,,,,,,,11.7704891432882,-6.79449631557424,-99,-60883.0439999996,-79147.0080000005,2,-52566.2,81827.47,-99,G,rectangular_magnet,R26,1,I,26.0,GS5,-87.1679967938797,0.950352581562533,circular_magnet,Gre,1,TL,-0.026795,0.01824
27,G10774512,-82.44153970295410,5.894657024769180,82.6875002803695,1.81546010034313,-0.0716337342738536,1.88709383461699,39.639787,-33.067879,,14.0142,,,,,,,,,,,9.79284228779189,-3.35606291445328,-99,-95329.738,-5622.65399999967,2,-82475.44,5918.15,-99,G,rectangular_magnet,R27,1,I,27.0,GS6,165.9817983759420,1.88709383461699,circular_magnet,Blu,1,TL,0.0310049999999999,0.0272
22,Sky-A1-1,-81.75646,-224.58157,0.0,0.0,0.0,0.0,39.658341,-32.106048272,,,,,,,,,,,,,,,-99,,,-99,-81756.46,-224581.57,2,S,,,-99,,,,,,,,-99,,,
23,Sky-A1-2,-95.17558,-226.8427,0.0,0.0,0.0,0.0,39.5932168,-32.098253924,,,,,,,,,,,,,,,-99,,,-99,-95175.58,-226842.7,0,S,,,-99,,,,,,,,-99,,,
24,Sky-A1-3,-102.96402,-215.68359,0.0,0.0,0.0,0.0,39.5537654,-32.142840685,,,,,,,,,,,,,,,-99,,,-99,-102964.02,-215683.59,2,S,,,-99,,,,,,,,-99,,,
25,Sky-A1-4,-114.16975,-212.24121,0.0,0.0,0.0,0.0,39.498808,-32.157479118,,,,,,,,,,,,,,,-99,,,-99,-114169.75,-212241.21,1,S,,,-99,,,,,,,,-99,,,
26,Sky-A1-5,-124.24934,-206.50222,0.0,0.0,0.0,0.0,39.4490497,-32.181200565,,,,,,,,,,,,,,,-99,,,-99,-124249.34,-206502.22,1,S,,,-99,,,,,,,,-99,,,
27,Sky-A1-6,-134.04112,-200.2849,0.0,0.0,0.0,0.0,39.4006717,-32.206903435,,,,,,,,,,,,,,,-99,,,-99,-134041.12,-200284.9,1,S,,,-99,,,,,,,,-99,,,
28,Sky-A1-7,-143.52243,-193.60365,0.0,0.0,0.0,0.0,39.3537842,-32.234529671,,,,,,,,,,,,,,,-99,,,-99,-143522.43,-193603.65,1,S,,,-99,,,,,,,,-99,,,
29,Sky-A2-1,-238.98133,-2.98751,0.0,0.0,0.0,0.0,38.8735333,-33.0256223,,,,,,,,,,,,,,,-99,,,-99,-238981.33,-2987.51,2,S,,,-99,,,,,,,,-99,,,
30,Sky-A2-2,-245.84385,8.76372,0.0,0.0,0.0,0.0,38.841207,-33.074238045,,,,,,,,,,,,,,,-99,,,-99,-245843.85,8763.72,0,S,,,-99,,,,,,,,-99,,,
31,Sky-A2-3,-240.15512,20.16382,0.0,0.0,0.0,0.0,38.8672139,-33.122009305,,,,,,,,,,,,,,,-99,,,-99,-240155.12,20163.82,1,S,,,-99,,,,,,,,-99,,,
32,Sky-A2-4,-238.90682,31.69534,0.0,0.0,0.0,0.0,38.8728567,-33.170088599,,,,,,,,,,,,,,,-99,,,-99,-238906.82,31695.34,1,S,,,-99,,,,,,,,-99,,,
33,Sky-A2-5,-237.10513,43.15344,0.0,0.0,0.0,0.0,38.8812641,-33.217882616,,,,,,,,,,,,,,,-99,,,-99,-237105.13,43153.44,1,S,,,-99,,,,,,,,-99,,,
34,Sky-A2-6,-234.75423,54.51158,0.0,0.0,0.0,0.0,38.8924205,-33.265280121,,,,,,,,,,,,,,,-99,,,-99,-234754.23,54511.58,1,S,,,-99,,,,,,,,-99,,,
35,Sky-A2-7,-231.85957,65.74346,0.0,0.0,0.0,0.0,38.9063042,-33.312170682,,,,,,,,,,,,,,,-99,,,-99,-231859.57,65743.46,1,S,,,-99,,,,,,,,-99,,,
36,Sky-A3-1,-66.38214,231.67752,0.0,0.0,0.0,0.0,39.7291598,-34.006976486,,,,,,,,,,,,,,,-99,,,-99,-66382.14,231677.52,1,S,,,-99,,,,,,,,-99,,,
37,Sky-A3-2,-54.24276,230.70917,0.0,0.0,0.0,0.0,39.7898129,-34.004105774,,,,,,,,,,,,,,,-99,,,-99,-54242.76,230709.17,3,S,,,-99,,,,,,,,-99,,,
38,Sky-A3-3,-43.80666,236.98531,0.0,0.0,0.0,0.0,39.8424677,-34.029209141,,,,,,,,,,,,,,,-99,,,-99,-43806.66,236985.31,1,S,,,-99,,,,,,,,-99,,,
39,Sky-A3-4,-31.81656,234.85465,0.0,0.0,0.0,0.0,39.9025079,-34.021468981,,,,,,,,,,,,,,,-99,,,-99,-31816.56,234854.65,3,S,,,-99,,,,,,,,-99,,,
40,Sky-A3-5,-21.25758,245.07981,0.0,0.0,0.0,0.0,39.95584,-34.061487778,,,,,,,,,,,,,,,-99,,,-99,-21257.58,245079.81,0,S,,,-99,,,,,,,,-99,,,
41,Sky-A3-6,-9.44115,245.81876,0.0,0.0,0.0,0.0,40.015113,-34.06454442,,,,,,,,,,,,,,,-99,,,-99,-9441.15,245818.76,0,S,,,-99,,,,,,,,-99,,,
42,Sky-A3-7,-2.32895,238.98865,0.0,0.0,0.0,0.0,40.0507463,-34.038116106,,,,,,,,,,,,,,,-99,,,-99,-2328.95,238988.65,2,S,,,-99,,,,,,,,-99,,,
43,Sky-A4-1,117.86456,210.21182,0.0,0.0,0.0,0.0,40.653364,-33.916028539,,,,,,,,,,,,,,,-99,,,-99,117864.56,210211.82,1,S,,,-99,,,,,,,,-99,,,
44,Sky-A4-2,127.84223,204.2974,0.0,0.0,0.0,0.0,40.7031948,-33.891149026,,,,,,,,,,,,,,,-99,,,-99,127842.23,204297.4,1,S,,,-99,,,,,,,,-99,,,
45,Sky-A4-3,137.52377,197.90977,0.0,0.0,0.0,0.0,40.7514973,-33.864290836,,,,,,,,,,,,,,,-99,,,-99,137523.77,197909.77,1,S,,,-99,,,,,,,,-99,,,
46,Sky-A4-4,146.88677,191.06371,0.0,0.0,0.0,0.0,40.7981582,-33.835517746,,,,,,,,,,,,,,,-99,,,-99,146886.77,191063.71,1,S,,,-99,,,,,,,,-99,,,
47,Sky-A4-5,153.32173,180.72478,0.0,0.0,0.0,0.0,40.8308492,-33.793125451,,,,,,,,,,,,,,,-99,,,-99,153321.73,180724.78,3,S,,,-99,,,,,,,,-99,,,
48,Sky-A4-6,164.57115,176.06079,0.0,0.0,0.0,0.0,40.8861228,-33.772504606,,,,,,,,,,,,,,,-99,,,-99,164571.15,176060.79,1,S,,,-99,,,,,,,,-99,,,
49,Sky-A4-7,172.85157,167.93867,0.0,0.0,0.0,0.0,40.9272217,-33.738413887,,,,,,,,,,,,,,,-99,,,-99,172851.57,167938.67,1,S,,,-99,,,,,,,,-99,,,
50,Sky-A5-1,189.83588,-148.4702,0.0,0.0,0.0,0.0,40.9978879,-32.420457815,,,,,,,,,,,,,,,-99,,,-99,189835.88,-148470.2,1,S,,,-99,,,,,,,,-99,,,
51,Sky-A5-2,186.25813,-160.69819,0.0,0.0,0.0,0.0,40.9784293,-32.370585879,,,,,,,,,,,,,,,-99,,,-99,186258.13,-160698.19,0,S,,,-99,,,,,,,,-99,,,
52,Sky-A5-3,174.68645,-166.02924,0.0,0.0,0.0,0.0,40.9224295,-32.34784923,,,,,,,,,,,,,,,-99,,,-99,174686.45,-166029.24,1,S,,,-99,,,,,,,,-99,,,
53,Sky-A5-4,165.11397,-172.79576,0.0,0.0,0.0,0.0,40.8754194,-32.319583016,,,,,,,,,,,,,,,-99,,,-99,165113.97,-172795.76,2,S,,,-99,,,,,,,,-99,,,
54,Sky-A5-5,157.91943,-182.05086,0.0,0.0,0.0,0.0,40.8391711,-32.28164617,,,,,,,,,,,,,,,-99,,,-99,157919.43,-182050.86,1,S,,,-99,,,,,,,,-99,,,
55,Sky-A5-6,147.7409,-187.86598,0.0,0.0,0.0,0.0,40.7892167,-32.257295005,,,,,,,,,,,,,,,-99,,,-99,147740.9,-187865.98,2,S,,,-99,,,,,,,,-99,,,
56,Sky-A5-7,139.6901,-196.38671,0.0,0.0,0.0,0.0,40.7488804,-32.222448901,,,,,,,,,,,,,,,-99,,,-99,139690.1,-196386.71,1,S,,,-99,,,,,,,,-99,,,
57,Sky-H1-1,-158.92893,-181.17025,0.0,0.0,0.0,0.0,39.2774878,-32.285956494,,,,,,,,,,,,,,,-99,,,-99,-158928.93,-181170.25,1,S,,,-99,,,,,,,,-99,,,
58,Sky-H1-2,-166.07192,-171.8753,0.0,0.0,0.0,0.0,39.2415254,-32.32410674,,,,,,,,,,,,,,,-99,,,-99,-166071.92,-171875.3,2,S,,,-99,,,,,,,,-99,,,
59,Sky-H1-3,-174.14922,-163.68583,0.0,0.0,0.0,0.0,39.2013861,-32.358021682,,,,,,,,,,,,,,,-99,,,-99,-174149.22,-163685.83,2,S,,,-99,,,,,,,,-99,,,
60,Sky-H1-4,-187.1485,-159.66038,0.0,0.0,0.0,0.0,39.13885,-32.375695685,,,,,,,,,,,,,,,-99,,,-99,-187148.5,-159660.38,0,S,,,-99,,,,,,,,-99,,,
61,Sky-H1-5,-194.61368,-150.47098,0.0,0.0,0.0,0.0,39.1017092,-32.413694815,,,,,,,,,,,,,,,-99,,,-99,-194613.68,-150470.98,0,S,,,-99,,,,,,,,-99,,,
62,Sky-H1-6,-195.8907,-136.92273,0.0,0.0,0.0,0.0,39.0930166,-32.468925509,,,,,,,,,,,,,,,-99,,,-99,-195890.7,-136922.73,2,S,,,-99,,,,,,,,-99,,,
63,Sky-H1-7,-203.94434,-128.4047,0.0,0.0,0.0,0.0,39.0534163,-32.50445695,,,,,,,,,,,,,,,-99,,,-99,-203944.34,-128404.7,1,S,,,-99,,,,,,,,-99,,,
64,Sky-H1-8,-209.88551,-118.44464,0.0,0.0,0.0,0.0,39.0236398,-32.545748938,,,,,,,,,,,,,,,-99,,,-99,-209885.51,-118444.64,1,S,,,-99,,,,,,,,-99,,,
65,Sky-H2-1,-217.08302,-99.97981,0.0,0.0,0.0,0.0,38.9866649,-32.622194796,,,,,,,,,,,,,,,-99,,,-99,-217083.02,-99979.81,2,S,,,-99,,,,,,,,-99,,,
66,Sky-H2-2,-223.49692,-90.16757,0.0,0.0,0.0,0.0,38.9550765,-32.663063232,,,,,,,,,,,,,,,-99,,,-99,-223496.92,-90167.57,1,S,,,-99,,,,,,,,-99,,,
67,Sky-H2-3,-227.57641,-79.30977,0.0,0.0,0.0,0.0,38.9343843,-32.70814285,,,,,,,,,,,,,,,-99,,,-99,-227576.41,-79309.77,1,S,,,-99,,,,,,,,-99,,,
68,Sky-H2-4,-231.12877,-68.26826,0.0,0.0,0.0,0.0,38.9162754,-32.754004295,,,,,,,,,,,,,,,-99,,,-99,-231128.77,-68268.26,1,S,,,-99,,,,,,,,-99,,,
69,Sky-H2-5,-232.20251,-56.59499,0.0,0.0,0.0,0.0,38.9097741,-32.802464029,,,,,,,,,,,,,,,-99,,,-99,-232202.51,-56594.99,2,S,,,-99,,,,,,,,-99,,,
70,Sky-H2-6,-241.5294,-46.68566,0.0,0.0,0.0,0.0,38.8653557,-32.843767087,,,,,,,,,,,,,,,-99,,,-99,-241529.4,-46685.66,0,S,,,-99,,,,,,,,-99,,,
71,Sky-H2-7,-236.56716,-34.01436,0.0,0.0,0.0,0.0,38.8870369,-32.896407384,,,,,,,,,,,,,,,-99,,,-99,-236567.16,-34014.36,2,S,,,-99,,,,,,,,-99,,,
72,Sky-H2-8,-239.92079,-22.78326,0.0,0.0,0.0,0.0,38.8704905,-32.943132284,,,,,,,,,,,,,,,-99,,,-99,-239920.79,-22783.26,1,S,,,-99,,,,,,,,-99,,,
73,Sky-H3-1,-153.63008,183.0814,0.0,0.0,0.0,0.0,39.2921747,-33.803672093,,,,,,,,,,,,,,,-99,,,-99,-153630.08,183081.4,2,S,,,-99,,,,,,,,-99,,,
74,Sky-H3-2,-145.85382,191.8534,0.0,0.0,0.0,0.0,39.3313074,-33.839949743,,,,,,,,,,,,,,,-99,,,-99,-145853.82,191853.4,1,S,,,-99,,,,,,,,-99,,,
75,Sky-H3-3,-136.45402,198.64884,0.0,0.0,0.0,0.0,39.3782358,-33.868448394,,,,,,,,,,,,,,,-99,,,-99,-136454.02,198648.84,1,S,,,-99,,,,,,,,-99,,,
